archiefbeschrijvingURI,handleURI,imageOriginal,beschrijving,toelichting,titelFotoserie
https://archief.nl/id/beschrijving/0ea5a2a4-eee6-7e74-ce38-7b4f2eb28235,http://hdl.handle.net/10648/0ea5a2a4-eee6-7e74-ce38-7b4f2eb28235,https://service.archief.nl/gaf/api/file/v1/original/258c5c16-ecaa-415e-949f-ac8672c577ce,"Bangil (bij Pasoeroean): Ook hier verliep de evacuatie van TNI. troepen vlot. De koks van 4-5 RI. voorzagen hen van eten, waarna per truck de reis werd voortgezet.",,[DLC] Evacuatie T.N.I van Bangil naar Malang
https://archief.nl/id/beschrijving/0f96b7ac-8f64-5054-8fe9-9d2ca0ae171e,http://hdl.handle.net/10648/0f96b7ac-8f64-5054-8fe9-9d2ca0ae171e,https://service.archief.nl/gaf/api/file/v1/original/bba9dd83-76b7-4151-b9ad-3051329aea82,Vertaling van een reeds oude instructie van Cdt sect. M.G./A (= nu MG XIII A) nl. nr. 26/B van 25/8),Instructie van Indonesische commandant Soediomo voor acties in het gebied Tandjoengredjo,
https://archief.nl/id/beschrijving/124f5e2f-252b-bd70-1e66-9c4773420e12,http://hdl.handle.net/10648/124f5e2f-252b-bd70-1e66-9c4773420e12,,Welfare trein. Welfare Express trein,De trein heeft het kenteken RNMC 5004,
https://archief.nl/id/beschrijving/12f50086-a6dd-b2f3-508b-603d80116424,http://hdl.handle.net/10648/12f50086-a6dd-b2f3-508b-603d80116424,https://service.archief.nl/gaf/api/file/v1/original/aae4608d-e37e-45c7-a251-b4d86213cc8b,[Parade van militairen. Op een talud staat een groep militairen toe te kijken],,
https://archief.nl/id/beschrijving/1310686d-89ec-a7b6-f582-d1071ed9cc3d,http://hdl.handle.net/10648/1310686d-89ec-a7b6-f582-d1071ed9cc3d,https://service.archief.nl/gaf/api/file/v1/original/58cced65-9ae8-4db9-924f-367cab9b4aff,[Parade van militairen. Groep kinderen (of bewoners) wordt toegesproken],,
https://archief.nl/id/beschrijving/138440fe-27b0-1274-4b16-8d1bee51cc4a,http://hdl.handle.net/10648/138440fe-27b0-1274-4b16-8d1bee51cc4a,https://service.archief.nl/gaf/api/file/v1/original/bcd7ec5d-0fea-4731-a25f-e1fa9ff8ae45,[Geen bijschrift],Een groep krijgsgevangenen wordt weggeleid?,
https://archief.nl/id/beschrijving/139950b9-5b15-0b7d-bdb3-4e3161ae1da3,http://hdl.handle.net/10648/139950b9-5b15-0b7d-bdb3-4e3161ae1da3,https://service.archief.nl/gaf/api/file/v1/original/0588d660-307c-4a77-a325-7e3d98a4e7b0,"Malang: Een van de vijf op 1 augustus 1947 gearresteerde Duitsers: Res. Oberleutnant zur See Fritz Arp, geb. 16-1-'15 te Burg auf Friehmar (Ostsee) In dienst van de Kriegsmarine als 1ste Off. op U-boot 195.",,[DLC] Moffen in Malang
https://archief.nl/id/beschrijving/16621c96-3f62-542c-9ac7-7382126c6df3,http://hdl.handle.net/10648/16621c96-3f62-542c-9ac7-7382126c6df3,https://service.archief.nl/gaf/api/file/v1/original/5c390e52-7800-4907-83a2-235b12d8fe4f,[Geen bijschrift],Een groep kampongbewoners rond een vrachtwagen,[DLC] Madoera
https://archief.nl/id/beschrijving/170d0f60-fc54-745a-7fc9-ad0f4cbf1f98,http://hdl.handle.net/10648/170d0f60-fc54-745a-7fc9-ad0f4cbf1f98,https://service.archief.nl/gaf/api/file/v1/original/9e507a6e-73c2-47cd-8502-407182f42e99,"Medan: In de twee kilometer lange stoet, die tijdens een protest-demonstratie op 4 september door de straten van Medan trok, droegenn twaalfduizend Chinese slachtoffers van het Republikeinse geweld talrijke spandoeken mee, waarbij zij het aanblijven van Nederlandse bezettingstroepen in het bevrijde gebied eisten omwille van hun veiligheid. \""Tegen deze beesten willen wij beschermd worden....\""",,[DLC] Anti- republikeinse demonstratie te Medan (reproducties)
https://archief.nl/id/beschrijving/187223b8-bbf0-9bf2-c647-b29dd524f210,http://hdl.handle.net/10648/187223b8-bbf0-9bf2-c647-b29dd524f210,https://service.archief.nl/gaf/api/file/v1/original/c33de52f-2bee-49bb-9ad0-98925a7673bd,[Geen bijschrift],Salatiga: Sportfeest verjaardag koningin Wilhelmina,[DLC] Reportage “T” Brigade; patrouille en sportfeest
https://archief.nl/id/beschrijving/19487939-576c-8b7d-5b9c-49284189ae5b,http://hdl.handle.net/10648/19487939-576c-8b7d-5b9c-49284189ae5b,https://service.archief.nl/gaf/api/file/v1/original/734db464-fc6c-4ef7-af1c-6f82b5b35ff4,"Salatiga: In 1902 stichtte het Leger des Heils te Salatiga een kolonie voor wezen, gebrekkigen en blinden. De Nederlandse troepen troffen deze model-landbouwkolonie in vervallen staat, verlaten aan. De bewoners die allen gevlucht waren voor de republikeinse bedreigingen werden door een militaire expeditie voor een deel in de bergen teruggevonden, waar zij als opgejaagde dieren rondzwierven. Terug in Salatiga werden zij ontvangen en begroet door de zoon van de stichter, de heer S. van Emmerik, tot zijn gevangenneming in 1943 vader van deze kolonie",Gelijk aan fotonummer 81,[DLC] Reportage over de omgeving van Semarang bij een artikel van majoor Brok
https://archief.nl/id/beschrijving/19c35f09-473f-8aa3-e85c-dc766784fba9,http://hdl.handle.net/10648/19c35f09-473f-8aa3-e85c-dc766784fba9,https://service.archief.nl/gaf/api/file/v1/original/0c3fd7b0-684a-4035-8e1c-7e659bb88fbe,[Geen bijschrift],Een hoge officier inspecteert een erewacht,
https://archief.nl/id/beschrijving/1b4351fb-359d-7cd1-9bca-c5d08da31430,http://hdl.handle.net/10648/1b4351fb-359d-7cd1-9bca-c5d08da31430,https://service.archief.nl/gaf/api/file/v1/original/a0678241-e24c-415f-ab99-3d7ca4b8d0d3,[Gezellig samenzijn in de woonkamer],,[DLC] Foto's waarschijnlijk gemaakt tijdens inkwartiering bij burgers
https://archief.nl/id/beschrijving/1c00e4ea-4e3f-3b83-7f88-7d99396e2a1c,http://hdl.handle.net/10648/1c00e4ea-4e3f-3b83-7f88-7d99396e2a1c,https://service.archief.nl/gaf/api/file/v1/original/dbeabacd-4f92-44d9-a258-9ea932e6ac13,[Geen bijschrift],Patrouille door de desa. Pad met agaves. Op de achtergrond een vulkaan,[DLC] Reportage “T” Brigade; patrouille en sportfeest
https://archief.nl/id/beschrijving/1df2e2cf-428d-2519-d6f6-31ac9133bcc9,http://hdl.handle.net/10648/1df2e2cf-428d-2519-d6f6-31ac9133bcc9,https://service.archief.nl/gaf/api/file/v1/original/7bd11387-3dd3-4e19-b2b8-7773e636dda7,"Malang: Een van de vijf op 1 augustus 1947 gearresteerde Duitsers: Herbert Weber, geb. 3-6-'14 te Leutersdorf. In dienst van de Kriegsmarine als Leitender Ingenieur op U-boot 195",,[DLC] Moffen in Malang
https://archief.nl/id/beschrijving/1f59f061-7303-3301-a468-4e7cf0776153,http://hdl.handle.net/10648/1f59f061-7303-3301-a468-4e7cf0776153,https://service.archief.nl/gaf/api/file/v1/original/f4eb1dec-8271-4ec1-9cd0-8c018ec6cdfb,"Bangil (bij Pasoeroean): Ook hier verliep de evacuatie van TNI. troepen vlot. De koks van 4-5 RI. voorzagen hen van eten, waarna per truck de reis werd voortgezet.",,[DLC] Evacuatie T.N.I van Bangil naar Malang
https://archief.nl/id/beschrijving/224fd32f-ada9-8782-2d07-bdba7e34b62d,http://hdl.handle.net/10648/224fd32f-ada9-8782-2d07-bdba7e34b62d,https://service.archief.nl/gaf/api/file/v1/original/c4409f13-95af-4bc0-96f7-49f9fbd29341,"Salatiga: De bewoners van Witte Kruis kolonie te Salatigawerden door de TNI uit hun behuizing verdreven. . De armen, wezen en gebrekkigen werden door onze troepen zwervend in de bergen aangetroffen, waar zij als wilde dieren leefden aan de rand van totale uitputting",,[DLC] Reportage over de omgeving van Semarang bij een artikel van majoor Brok
https://archief.nl/id/beschrijving/2531ab31-dca5-af03-a2a0-24ea7d202b13,http://hdl.handle.net/10648/2531ab31-dca5-af03-a2a0-24ea7d202b13,https://service.archief.nl/gaf/api/file/v1/original/f9232a45-3f7b-4d36-a5e1-71f8ab4282eb,"Bringin. Gezondheidszorg in de bevrijde gebieden. Kapt.Dr. Cordesius uit Den Haag heeft met zijn helpers te Bringin (nabij Salatiga) een polikliniek geopend, van waaruit de schoolgaande jeugd aan een grondig medisch onderzoek wordt onderworpen. De hoofdonderwijzer, leraren en leraressen van de lagere school van wie alle gewenste medewerking ontvangen wordt","Opschrift boven school: \""Sekolah Rakjat Bringin\""",[DLC] Opbouw Volksgezondheid te Bringin bij Salatiga
https://archief.nl/id/beschrijving/268881ce-709d-ac0f-79e3-4225243cac66,http://hdl.handle.net/10648/268881ce-709d-ac0f-79e3-4225243cac66,https://service.archief.nl/gaf/api/file/v1/original/42a8b555-632a-44a5-b625-600577cb6ef2,"Garoet: Chinese burgers, door een zuiveringspatrouille bevrijd, worden naar veiliger gebieden gevoerd om weer op verhaal te komen. Wat hen nog restte aan huisraad is meegenomen",,[DLC] Garoet. Zuiveringspatrouilles. Chinezen
https://archief.nl/id/beschrijving/26a2ab3e-dafb-f192-84e6-b7506c81b7a0,http://hdl.handle.net/10648/26a2ab3e-dafb-f192-84e6-b7506c81b7a0,https://service.archief.nl/gaf/api/file/v1/original/dfc8fcdb-8f8e-4e3a-8951-d8231848888e,"Een carrier van de T-Brigade is op een mijn gelopen en wordt door de takelwagen opgehaald. De \""break-down\"" van Piet Abtman, heel bescheiden \""het Muisje\"" genaamd, op weg naar de herstelplaats met de beschadigde rupswagen",,[DLC] I Veldartillerie KNIL; bergingswerk Piet Abtman; 5e Veldgenie Cie Semarang
https://archief.nl/id/beschrijving/26fdeafb-ae0f-c278-a34e-715fa47c8dc0,http://hdl.handle.net/10648/26fdeafb-ae0f-c278-a34e-715fa47c8dc0,https://service.archief.nl/gaf/api/file/v1/original/275ae572-38e0-4f85-9736-522fe807b8b0,[Geen bijschrift],Een KNIL-eenheid verlaat marcherend een kazerne,
https://archief.nl/id/beschrijving/2854ea8f-6fc7-36db-6532-c0112d21ff4f,http://hdl.handle.net/10648/2854ea8f-6fc7-36db-6532-c0112d21ff4f,https://service.archief.nl/gaf/api/file/v1/original/6cca7563-2b3c-4b91-95de-83515c30ea93,"Salatiga: De militairen van de T-Brigade organiseerden ter gelegenheid van de verjaardag van koningin Wilhelmina een groot sportfeest te Salatiga. Het ontbrak niet aan belangstelling van de zijde der bevolking, die zich kostelijk amuseerde",,[DLC] Reportage “T” Brigade; patrouille en sportfeest
https://archief.nl/id/beschrijving/28a197eb-6823-581d-2802-82039eff3422,http://hdl.handle.net/10648/28a197eb-6823-581d-2802-82039eff3422,,Welfare trein. Waroe station,,
https://archief.nl/id/beschrijving/296ba858-cf2c-904b-44ad-3ee0a7e8fb59,http://hdl.handle.net/10648/296ba858-cf2c-904b-44ad-3ee0a7e8fb59,,Welfare trein. Iets wat de soldaten niet dagelijks aan het front meemaken,,
https://archief.nl/id/beschrijving/29be2fc0-4da4-e0e3-a23b-c911eb71024f,http://hdl.handle.net/10648/29be2fc0-4da4-e0e3-a23b-c911eb71024f,https://service.archief.nl/gaf/api/file/v1/original/744bbceb-c1f2-4f10-853c-6d7c9ccc41f4,"Salatiga: Ook na \""Staakt de Vijandelijkheden\"" heeft de TNI de praktijken van vernielingen en brandstichting voortgezet. De onderneming \""Getas\""in Salatiga onderging dit lot na het staken der vijandelijkheden",,[DLC] Reportage over de omgeving van Semarang bij een artikel van majoor Brok
https://archief.nl/id/beschrijving/29f4ebf0-70ed-c47d-a205-19b2978cc594,http://hdl.handle.net/10648/29f4ebf0-70ed-c47d-a205-19b2978cc594,https://service.archief.nl/gaf/api/file/v1/original/245f23a5-fbd4-48eb-b08a-52744da7f8ee,"Garoet: De zuiveringspatrouille doorzoekt een kampong, waar zich subversieve elementen ophouden. Met het geweer in de aanslag en op alle eventualiteiten voorbereid bertreden de soldaten de huizen.",,[DLC] Garoet. Zuiveringspatrouilles. Chinezen
https://archief.nl/id/beschrijving/2cd5db21-8e22-a5e0-9024-fd2355c4c8a1,http://hdl.handle.net/10648/2cd5db21-8e22-a5e0-9024-fd2355c4c8a1,https://service.archief.nl/gaf/api/file/v1/original/d6ac1916-78df-4949-bf8d-5a597f8f2852,"Medan: Op 4 september organiseerden meer dan 12.000 Chinese slachtoffers van de Republikeinse terreur een massale protestmeeting te Medan. In de twee kilometer lange stoet werden tal van spandoeken meegedragen ter onderstreping van hun eisen tot handhaving van de Nederlandse bezettingstroepen en een ingrijpen van de Chinese regering in de Veiligheidsraad. \""Pogrom in Indonesia....\""",,[DLC] Anti- republikeinse demonstratie te Medan (reproducties)
https://archief.nl/id/beschrijving/2dd8f282-f966-e4e7-c28b-ffa13a2abaf6,http://hdl.handle.net/10648/2dd8f282-f966-e4e7-c28b-ffa13a2abaf6,https://service.archief.nl/gaf/api/file/v1/original/0c8c80b6-1fe2-4863-ad28-ed15958953f3,"Medan: Door meer dan twaalfduizend Chinezen werd te Medan een vlammende protestdemonstratie gehouden tegen het hen aangedane geweld door de Republiek. Zij eisten van de Chinese regering een sterke en onmiddelijke politiek in de Veiligheidsraad ten einde aan het bestiaal geweld dat in het niet bevrijde gebied nog voortduurt, een einde te maken",,[DLC] Anti- republikeinse demonstratie te Medan (reproducties)
https://archief.nl/id/beschrijving/2e0bfa23-a890-97db-e530-9be1e03c383c,http://hdl.handle.net/10648/2e0bfa23-a890-97db-e530-9be1e03c383c,https://service.archief.nl/gaf/api/file/v1/original/50ce7621-c2e1-4247-88e0-30d835c51a10,[Geen bijschrift],Gewapende militair achter een paggerhek in duisternis,[DLC] Foto's waarschijnlijk gemaakt tijdens inkwartiering bij burgers
https://archief.nl/id/beschrijving/32080c4c-f304-a950-c69a-82093a59a497,http://hdl.handle.net/10648/32080c4c-f304-a950-c69a-82093a59a497,https://service.archief.nl/gaf/api/file/v1/original/9802a5cf-600b-4fd4-a6fd-c17ea5d54d81,Salatiga: Donderdag 18 september werd Tawiroren van Kampong Ngasinan met nog twee andere kampongbewoners door 8 TNI-soldaten ontvoerd naar het Republikeinse gebied. Hij werd daar ondervraagd omtrent samenwerking met de Nederlanders en mishandeld. Zijn twee lotgenoten werden gedood terwijl hij zelf wist te ontkomen naar het bevrijde gebied,,[DLC] Salatiga; mishandelde man met gezin
https://archief.nl/id/beschrijving/324141ef-c1fc-f4ea-0557-679174cc1cb0,http://hdl.handle.net/10648/324141ef-c1fc-f4ea-0557-679174cc1cb0,https://service.archief.nl/gaf/api/file/v1/original/8c7d2db0-1116-457b-bd2c-43d84358073e,"Bangil (bij Pasoeroean): Ook hier verliep de evacuatie van TNI. troepen vlot. De koks van 4-5 RI. voorzagen hen van eten, waarna per truck de reis werd voortgezet.",,[DLC] Evacuatie T.N.I van Bangil naar Malang
https://archief.nl/id/beschrijving/33b289ee-55d4-ad78-5b82-3f1e3ec8ff44,http://hdl.handle.net/10648/33b289ee-55d4-ad78-5b82-3f1e3ec8ff44,https://service.archief.nl/gaf/api/file/v1/original/abcd01c0-ed15-4649-ba3a-c8c15e2f8364,Noodkerk Priok,,[DLC] Noodkerkje te Priok
https://archief.nl/id/beschrijving/34e519d8-cdcf-34c7-4c03-ea18010ab243,http://hdl.handle.net/10648/34e519d8-cdcf-34c7-4c03-ea18010ab243,,Welfare trein. Toeschouwers station Waroe,,
https://archief.nl/id/beschrijving/34ebb1e3-43c3-72bb-fc98-e06e178d6bd4,http://hdl.handle.net/10648/34ebb1e3-43c3-72bb-fc98-e06e178d6bd4,https://service.archief.nl/gaf/api/file/v1/original/65b2670d-620c-47ca-9913-f4ab903f9ac7,"Pasaroean: Opgezweept door godsdienstleraren, daartoe door de regering van Djocja geïnstrueerd, richtte de bevolking van kampong Lokok een wrede moordpartij onder de Chinese inwoners. Bij het onverwacht verschijnen v.d. Nederlandse patrouille, hurkt de massa die in haar geheel medehielp in het gruwelijke vermoorden van 26 Chinezen, in bange onzekerheid neer, terwijl de soldaten de plaatsen opsporen waar de verminkte lijken zijn verborgen",,[DLC] Behoort bij art. “de bezinnende les Pasoeroean”
https://archief.nl/id/beschrijving/35d215a5-e962-c230-92fc-48d0a1782c55,http://hdl.handle.net/10648/35d215a5-e962-c230-92fc-48d0a1782c55,https://service.archief.nl/gaf/api/file/v1/original/98160396-e34e-4e5e-a14f-00c55dc02241,"Medan: Door meer dan 12000 Chinese slachtoffers van de Republikeinse terreur werd op 4 september te Medan een felle protestdemonstratie gehouden, waarbij een verzoekschrift aan de Nederlandse autoriteiten werd aangeboden ter handhaving van troepenmacht in het bevrijde gebied ter bescherming van de vele duizenden Chinezen. De kop van de twee kilometer lange stoet.",,[DLC] Anti- republikeinse demonstratie te Medan (reproducties)
https://archief.nl/id/beschrijving/36a589d6-63e7-6752-b18c-ef07440249ad,http://hdl.handle.net/10648/36a589d6-63e7-6752-b18c-ef07440249ad,,Welfare trein. Het toneel gereed,,
https://archief.nl/id/beschrijving/37069e36-d4d0-ea1c-6f77-883250144bce,http://hdl.handle.net/10648/37069e36-d4d0-ea1c-6f77-883250144bce,https://service.archief.nl/gaf/api/file/v1/original/74f7aeed-4a74-4f88-a95f-c4d733c8df25,[Mannen in uniform heffen het glas],,[DLC] Foto's waarschijnlijk gemaakt tijdens inkwartiering bij burgers
https://archief.nl/id/beschrijving/37186c2c-b23a-5cf0-9389-f2dace57fe38,http://hdl.handle.net/10648/37186c2c-b23a-5cf0-9389-f2dace57fe38,,Welfare trein. Opbouw van het toneel,,
https://archief.nl/id/beschrijving/3965fa8b-5dc2-a184-f4e5-25517dd7ab59,http://hdl.handle.net/10648/3965fa8b-5dc2-a184-f4e5-25517dd7ab59,https://service.archief.nl/gaf/api/file/v1/original/748ff38b-36ff-4751-a05d-a64432f80df1,"Een carrier van de T-Brigade is op een mijn gelopen en wordt door de takelwagen opgehaald. De \""break-down\"" van Piet Abtman, heel bescheiden \""het Muisje\"" genaamd, op weg naar de herstelplaats met de beschadigde rupswagen",,[DLC] I Veldartillerie KNIL; bergingswerk Piet Abtman; 5e Veldgenie Cie Semarang
https://archief.nl/id/beschrijving/3a10859b-c06c-d9da-94e1-9042cdc9cc40,http://hdl.handle.net/10648/3a10859b-c06c-d9da-94e1-9042cdc9cc40,https://service.archief.nl/gaf/api/file/v1/original/a8b535ec-f719-443c-ad35-014131f45f61,Reksosari: Veldartillerie in actie. Het is niet altijd nodig de volle kruitlading te gebruiken. Wat overblijft wordt in het vrije veld tot ontbranding gebracht,"\""Niet voor publikatie\""",[DLC] Zuiveringsacties II-2 RVA bij Salatiga
https://archief.nl/id/beschrijving/3b5fab3b-6f73-21e9-c9c4-ade5c1e979de,http://hdl.handle.net/10648/3b5fab3b-6f73-21e9-c9c4-ade5c1e979de,,Welfare trein,,
